Effect,State,Title,URL,Description,Example
Absorb,Solid,Shape_memory effect,https://www.productioninspiration.com/1/absorb/solid,Shape Memory Effect is a reversible solid state phase transformation where the solid has the ability to remember its shape and return back to that shape after being bent. A solid with shape memory effect has the ability to remember its shape and can be restored to that shape after it has been bent.,"Example: Shape memory alloys(SMA) can be used for orthodontic purposes. The archwire that is used to link the dental appliances is made of SMA because they have large elastic deformation with low stress levels. These super-elastic archwires gradually return to their original shape by absorbing the deformation, while exerting a constant force on the misaligned teeth, which results in tooth movement."
Absorb,Liquid,Capillary Action,https://www.productioninspiration.com/1/absorb/liquid,"Capillary Action is a physical phenomenon of liquids, which is associated with the intermolecular surface forces existing between a solid and a liquid, causing the rise of the liquid in narrow tubes resulting in accumulation of the fluid in the tubes.","Example: When a piece of chalk is dipped in a liquid, the liquid slowly rises in the chalk by capillary action."
Absorb,Liquid,Chemisorption,https://www.productioninspiration.com/1/absorb/liquid,"Chemisorption or Chemical Adsorption, involves the formation of strong chemical bonds between adsorbate molecules and specific surface locations known as chemically active sites. In simple terms, Chemisorption can best be explained as accumulation of the adsorbate on a surface via strong chemical bonds.",Example: Animation illustrates the concept.
Absorb,Liquid,Hydrogenation,https://www.productioninspiration.com/1/absorb/liquid,"Hydrogenation is the chemical process involving addition of hydrogen to an unsaturated organic compound(compound having double or triple bonds), in the presence of a catalyst. Hydrogenation process results in formation of a saturated organic compound from an unsaturated one.",Example: Hydrogenation of oil.
Absorb,Liquid,Exothermic Reactions,https://www.productioninspiration.com/1/absorb/liquid,Exothermic Reaction is a chemical reaction that releases energy into its surroundings.,
Absorb,Liquid,Endothermic Reactions,https://www.productioninspiration.com/1/absorb/liquid,Endothermic Reaction is chemical reaction that absorbs energy from its surroundings.,
Absorb,Gas,Ultrasound,https://www.productioninspiration.com/1/absorb/gas,Ultrasound is used to detect the accumulation of gases.,"Example: The wrist watch-like device has been invented which beams sound waves (ultrasound) into the wearer's wrist. Software in the gadget analyses the reflected signals to calculate the amount of gas in the blood to give the diver a read-out of the key figures. Basically, the device monitors the amount of air accumulated in divers' blood, and warns them to ascend more slowly if it is approaching danger level."
Absorb,Gas,Dissolution in Liquid,https://www.productioninspiration.com/1/absorb/gas,"Dissolution Of Gases In Liquid depends on hydrogen bonding capacity of the gas (such as HF), those that ionize (such as HCl), and those that react with the water (such as CO2). Basically, it is the accumulation or absorption of gas in liquid.",Example: An example of this is CO2 in water in carbonated drinks. The formation of fizz in such type drinks is due to the dissolution of CO2 in water. The animation depicts the same.
Absorb,Field,Battery,https://www.productioninspiration.com/1/absorb/field,"A Battery is composed of cells so that they behave as a single source of supply of electricity. Each one of these cells is composed of two plates made of dissimilar materials, an electron donor (negative electrode) and an electron acceptor (positive electrode), suspended in an electrolyte solution.

Inside the battery itself, a chemical reaction produces a current of electrons. Electrons must travel from the negative to the positive terminal for the chemical reaction to take place. Unless a circuit is formed allowing electrons to flow from the negative to the positive terminal, the chemical reaction will not take place. Once the conductor is connected, the reaction starts.","Example: Lead Acid Battery - In lead-acid batteries, lead dioxide serves as the positive electrode (anode) and sponge lead serves as the negative electrode (cathode). The electrolyte used is sulphuric acid. As the battery is discharged, both the electrodes react with the sulphuric acid to form lead sulphate and water. The electrolyte dissociates into positive hydrogen ions and negative sulphate ions. During discharge, the sponge lead dissociates into free electrons and positive lead ions. The electrons travel through the external circuit, and the positive lead ions combine with the sulphate ions present in the electrolyte to form lead sulphate. When the electrons re-enter the cell at the positive lead dioxide electrode, another chemical reaction occurs where the lead dioxide combines with the hydrogen ions in the electrolyte and with the returning electrons to form water, releasing lead ions in the electrolyte to form additional lead sulfate."
Absorb,Field,Capacitor,https://www.productioninspiration.com/1/absorb/field,"A Capacitor is an electronic component used for storing charge and energy in the form of electrostatic field. It consists of two parallel conducting plates separated by an insulating material called the dielectric which could be paper or plastic. When a capacitor is charged, excess electrons are stored on one plate and fewer electrons are on the other plate. There is no electron flow between the two plates since they are insulated.",Example: Animation of the capacitor as defined above.
Absorb,Field,CoronaDischarge,https://www.productioninspiration.com/1/absorb/field,Corona Discharge occurs when a discharge between two conductors causes ionization of the surrounding atmosphere. This is visible to the eye as a blue haze and is called Corona Discharge.,
Absorb,Field,Fuel-cell,https://www.productioninspiration.com/1/absorb/field,"A Fuel Cell is an energy conversion device that converts chemical energy into electrical energy as long as the fuel and oxidant are supplied to the electrodes. It is continually fed with hydrogen, which acts as the fuel source and oxygen, which acts as an oxidant. A fuel stack that has several fuel cells in series is used for increasing the voltage. The electrochemical reactions take place at the electrodes to produce an electrical current. The transfer of ions is the fundamental chemical process that creates the electrical energy within the fuel cell stack.",
Absorb,Field,Aerosol,https://www.productioninspiration.com/1/absorb/field,"Aerosol is a cloud of solid or liquid particles in a gas, having absorbing property.","Example: Black carbon aerosol is a component of air pollution mainly emitted by vehicles, especially by those with diesel engines. Absorption of light by the Aerosol is mostly due to black carbon particles present in them, which absorb radiative energy(sunlight) and convert it to heat, warming the atmosphere around them. The animation illustrates this concept."
Absorb,Field,Fly-wheel,https://www.productioninspiration.com/1/absorb/field,"A Fly-Wheel is a heavy wheel whose inertia maintains a nearly uniform speed of rotation, under variable load or driving force. The revolving fly-wheel is a reservoir of energy by virtue of its movement of inertia. Its effectiveness depends on the amount of energy which it absorbs or gives up for a given change of speed. To absorb energy, the flywheel converts electrical energy into kinetic energy using a built-in motor, making the flywheel's rotor spin faster.","Example: Animation shows the fly-wheel connected to a motor, which enables it to convert the electrical energy into kinetic energy."
